"disease","method","n_features","min_p","min_fdr","n_p_lt_0.05","n_fdr_lt_0.05"
"IBS","平台：Wilcoxon 秩和（不配对）",128,0.0017,0.181,10,0
"IBS","R：Wilcoxon 符号秩（配对）",136,0.000637699975486792,0.0867271966662037,12,0
"UC","平台：Wilcoxon 秩和（不配对）",120,0.00814551958683988,0.456562464703365,10,0
"UC","R：Wilcoxon 符号秩（配对）",136,0.0128945622490895,0.471127024273944,11,0
