"metric","disease","n_pairs","median_before","median_after","median_change","p","p_adj"
"Shannon_r","ALL",64,3.04185483894208,2.62464454887162,-0.122893642795409,0.0310274669169377,0.0698118005631099
"Shannon_r","IBS",35,3.15591769776554,3.05598711763743,-0.0528058611598508,0.549947552971053,0.707075425248497
"Shannon_r","UC",29,2.92157269553385,2.41534627531399,-0.321000932379255,0.0128945622490896,0.0698118005631099
"Observed_r","ALL",64,51,52.5,1,0.753225470388989,0.831329516682762
"Observed_r","IBS",35,53,55,3,0.831329516682762,0.831329516682762
"Observed_r","UC",29,50,47,-3,0.46210671442691,0.693160071640364
"Simpson_r","ALL",64,0.898858183285205,0.850182529908515,-0.0169721723409935,0.0208586706674974,0.0698118005631099
"Simpson_r","IBS",35,0.911979937634983,0.908092740663447,-0.00643518406173405,0.354746658847169,0.638543985924905
"Simpson_r","UC",29,0.879011563008081,0.791043825377951,-0.0485315707733748,0.0274143654911743,0.0698118005631099
