"taxon","n_pairs","median_before","median_after","median_delta","p","p_adj","disease"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar",35,2.56502938004521,-0.727087946351331,-0.68524242496899,0.14718288871703,0.794071722364926,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",35,-0.943053689422105,-1.71770869721642,-0.414372213134785,0.151807829275648,0.794071722364926,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__",35,-0.943053689422105,-1.45208051911267,-0.414372213134785,0.166346947631825,0.803896070624953,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__",35,2.08685020710407,3.33631980768965,0.33617354794621,0.171419015059733,0.803896070624953,"IBS"
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens",35,-0.807639755830566,2.82544028238642,0.134663015812185,0.171419015059733,0.803896070624953,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__spiroforme",35,-1.82360870602936,-1.77305472616875,0.165644115000117,0.192867893490543,0.816854626823622,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__",35,1.87363893882121,1.5781187803582,-0.606772148426099,0.192867893490543,0.816854626823622,"IBS"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__",35,-0.98607906611466,-1.64046783626816,-0.414372213134785,0.198525883286798,0.816854626823622,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__",35,-1.81498600288696,-1.64046783626816,0.165644115000117,0.204304289425634,0.816854626823622,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__longicatena",35,-1.25827701380645,-1.53519450731775,-0.464299048940392,0.204304289425634,0.816854626823622,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__",35,2.67697012627306,2.60084178741984,-0.442676584927226,0.216226224747429,0.816854626823622,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius",35,-0.788797820066861,-1.35742590255689,-0.414372213134785,0.216226224747429,0.816854626823622,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__",35,-0.98607906611466,-0.783376984269452,0.320907402803076,0.222371576172608,0.817365793499317,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea",35,-1.69514319127416,-1.77305472616875,-0.166460308987767,0.235035240081521,0.84117875397597,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__",35,-1.82360870602936,-1.80272297111971,0.0333444234805529,0.254974181119361,0.866912215805826,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus",35,3.00323819272003,1.82145610443631,-0.414372213134785,0.254974181119361,0.866912215805826,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__",35,-0.949021099269569,-1.45208051911267,-0.464299048940392,0.268903088693326,0.891971221031519,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;__",35,-1.74147168181907,-1.47698096614049,0.0333444234805529,0.276059963999256,0.893908454854735,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;__",35,-1.80419261151277,-1.64046783626816,0.126243740172104,0.290760516549939,0.919614656995157,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;__",35,-1.69514319127416,-1.71770869721642,-0.210228496449109,0.305978679308073,0.924735564131065,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__mucosae",35,-1.85610191012082,-1.80899503099214,0.013866680918909,0.305978679308073,0.924735564131065,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri",35,2.3844645625872,-0.94933934085745,-0.351307300892343,0.313782322155522,0.927704256807631,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__",35,-0.98607906611466,-0.112823081217679,0.16263273156624,0.329779056007473,0.954254289723753,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__",35,2.54583914643766,2.53391943362747,-0.281687460431254,0.337972069030974,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__",35,-1.42628047150585,-1.30423427398631,0.224609390128798,0.354746658847169,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__",35,-1.61467093136179,-1.77305472616875,-0.262946592355671,0.354746658847169,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava",35,-0.766838094143677,-0.94933934085745,-0.260239568729178,0.372037513766156,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__palleronii",35,-0.98607906611466,-1.47698096614049,-0.344409297613635,0.398934407373075,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__colinum",35,-1.61467093136179,-1.64046783626816,-0.262946592355671,0.398934407373075,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__",35,3.64519570073175,3.4420520014785,-0.316465152908478,0.408153906068216,0.957454516686378,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__",35,-1.25827701380645,-1.51613454053305,-0.262946592355671,0.417499157220678,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques",35,-1.54604843863647,-1.51613454053305,0.320907402803076,0.426969335164909,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__",35,-1.61467093136179,-1.35742590255689,0.165644115000117,0.426969335164909,0.957454516686378,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__",35,-1.61467093136179,-1.64046783626816,-0.0459572601798612,0.426969335164909,0.957454516686378,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve",35,-1.54604843863647,-1.51613454053305,0.320907402803076,0.436563535730637,0.957454516686378,"IBS"
