"disease","n_pairs","median_before","median_after","p_paired","p_unpaired"
"IBS",35,1.65128983771191,1.6201846026562,0.161388564686181,0.329597141690068
"UC",29,1.56992708163325,1.44288566349102,0.0195274552556461,0.213461373539674
