"metric","disease","n_poor","n_great","median_delta_poor","median_delta_great","p","p_adj"
"Shannon_r","ALL",31,33,-0.0528058611598508,-0.259154471408144,0.158380274318406,0.410988687836764
"Shannon_r","IBS",18,17,0.0511228940743818,-0.139667830424036,0.228327048798202,0.410988687836764
"Shannon_r","UC",13,16,-0.106119455166783,-0.366179852312422,0.442828413458438,0.563543616078971
"Observed_r","ALL",31,33,4,-6,0.221340221538326,0.410988687836764
"Observed_r","IBS",18,17,10,-9,0.0457712122997148,0.410988687836764
"Observed_r","UC",13,16,-3,-2.5,0.553547888948059,0.563543616078971
"Simpson_r","ALL",31,33,-0.00454997694678339,-0.0423913768836904,0.22153067603828,0.410988687836764
"Simpson_r","IBS",18,17,0.00784264359727249,-0.0164087335290835,0.563543616078971,0.563543616078971
"Simpson_r","UC",13,16,-0.0079814178941493,-0.101758338591085,0.345764093481661,0.518646140222492
