"PC1","PC2","Group","Sample","Drug","LIPUS","PC1","PC2","PC3","PC4"
-18.8282432671156,6.4682906488893,"DMSO","DHMR001","DMSO","no LIPUS",-18.8282432671156,6.4682906488893,16.6470291717592,-5.17442423584153
-1.75650163638199,-11.6561759868575,"DMSO","DHMR002","DMSO","no LIPUS",-1.75650163638199,-11.6561759868575,-0.0218629860225644,0.21138963882536
-9.27786919293836,17.9581298383856,"DMSO","DHMR003","DMSO","no LIPUS",-9.27786919293836,17.9581298383856,-1.21877595507948,8.07081813562885
-14.9373198482849,4.66227534140344,"DMSO","DHMR004","DMSO","no LIPUS",-14.9373198482849,4.66227534140344,-0.4549803179873,-1.47875426031165
18.36194139751,1.45006525563868,"DMSO+LIPUS","DHMR005","DMSO","LIPUS",18.36194139751,1.45006525563868,7.48866601081817,5.43019881591327
-19.5654929850861,-6.55310393969169,"DMSO+LIPUS","DHMR006","DMSO","LIPUS",-19.5654929850861,-6.55310393969169,9.87788704416129,-1.04463629604215
-20.278732988174,-13.4038851134244,"DMSO+LIPUS","DHMR007","DMSO","LIPUS",-20.278732988174,-13.4038851134244,-11.5876863352782,1.01155282109499
-11.9497619926288,8.27571333742574,"DMSO+LIPUS","DHMR008","DMSO","LIPUS",-11.9497619926288,8.27571333742574,-8.02936963080942,3.30084690428161
-2.00994728853894,-10.5042446810521,"T4400","DHMR009","T4400","no LIPUS",-2.00994728853894,-10.5042446810521,2.91925332205326,1.37686311445772
17.1721885380588,-16.3244510224629,"T4400","DHMR010","T4400","no LIPUS",17.1721885380588,-16.3244510224629,-3.82315254038712,-2.04783450359919
35.4454686324425,-6.72892947011001,"T4400","DHMR011","T4400","no LIPUS",35.4454686324425,-6.72892947011001,-1.43992156354057,-2.88366875350271
16.9553407711221,-3.49617698078878,"T4400","DHMR012","T4400","no LIPUS",16.9553407711221,-3.49617698078878,2.75272816703605,4.64765586429862
-0.723113683781956,-7.20409076280738,"T4400+LIPUS","DHMR013","T4400","LIPUS",-0.723113683781956,-7.20409076280738,5.39852816720766,5.07525471170939
0.149013865892737,-13.8698450316496,"T4400+LIPUS","DHMR014","T4400","LIPUS",0.149013865892737,-13.8698450316496,-11.1897633675053,4.16006151613293
23.370750850756,10.4246031450084,"T4400+LIPUS","DHMR015","T4400","LIPUS",23.370750850756,10.4246031450084,1.90709084628718,9.62270886456444
54.1704854185772,3.00383907878668,"T4400+LIPUS","DHMR016","T4400","LIPUS",54.1704854185772,3.00383907878668,1.31637638259339,-13.6631175349975
-12.5872664491519,-0.33376370888066,"T3976","DHMR017","T3976","no LIPUS",-12.5872664491519,-0.33376370888066,-6.60704673647426,-3.94200751663886
-18.8341669312316,-2.65931005844804,"T3976","DHMR018","T3976","no LIPUS",-18.8341669312316,-2.65931005844804,6.44039299150932,-7.48361251700949
-5.45248031125356,15.8787503929541,"T3976","DHMR019","T3976","no LIPUS",-5.45248031125356,15.8787503929541,-5.90450076064852,-13.1872723901044
-5.01468943621875,14.4506656733669,"T3976","DHMR020","T3976","no LIPUS",-5.01468943621875,14.4506656733669,-9.55882743459725,-5.61029383130078
-19.6792756404023,-7.77235418256482,"T3976+LIPUS","DHMR021","T3976","LIPUS",-19.6792756404023,-7.77235418256482,6.0938502826567,-3.60732101297679
-14.6310775196611,3.89930970285518,"T3976+LIPUS","DHMR022","T3976","LIPUS",-14.6310775196611,3.89930970285518,-2.22298728608897,2.64658635049011
23.7738599004643,9.58574371734727,"T3976+LIPUS","DHMR023","T3976","LIPUS",23.7738599004643,9.58574371734727,1.27458295357015,9.41469679213845
-13.8731102039739,4.44894480667681,"T3976+LIPUS","DHMR024","T3976","LIPUS",-13.8731102039739,4.44894480667681,-0.0575104252332578,5.15430932278942
