"item","value"
"source_counts","EasyMultiProfiler-Web/tests/RNAseq_output.csv"
"source_mapping","EasyMultiProfiler-Web/tests/RNAseq_mapping.csv"
"feature_set","EMP-retained genes read from RNAseq_output_assay.csv"
"n_features","14245"
"contrast","T4400 vs DMSO"
"reference_level","DMSO"
"shrinkage","apeglm"
"padj_threshold","0.05"
"lfc_threshold","1"
"n_up","116"
"n_down","12"
"n_significant","128"
"n_padj_NA","832"
"n_padj_only","2068"
"PC1_pct","56.4"
"PC2_pct","13.9"
