"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02"
"s__ovatus",0,0,298,39,695,0,69,96,26,34,0,0,21,0,0,28,0,28,0,0,159,20,0,0,138,0,100,0,150,56,435,94,0,0,0,39,164,89,47,0,0,141,64,32,0,0,0,0,112,0,69,0,136,240,374,215,0,314,221,100,276,3,126,83,134,0,0,0,0,97,0,0
"s__fragilis",0,0,29,32,435,0,0,0,8,119,0,0,20,0,21,22,26,0,0,0,44,4,0,0,0,0,0,10,127,85,6,0,0,0,92,0,0,0,0,0,0,85,7,0,12,0,0,0,42,0,0,0,0,0,505,166,0,0,134,114,0,68,0,0,113,0,56,0,26,66,0,3
"s__longicatena",0,0,0,43,0,0,0,0,0,5,0,0,1,6,157,0,0,0,112,0,0,0,37,0,56,0,0,0,69,0,1,0,98,0,0,0,62,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,78,0,0,47,0,0,0,28,0,60,0,0,0,56,0,0,103,0,0,0
"s__longum",0,43,157,824,135,117,92,80,0,56,0,0,86,34,48,28,10,25,213,66,156,0,32,27,64,0,0,81,120,251,608,200,129,61,118,0,181,0,0,0,0,0,104,93,90,89,0,104,59,0,0,164,97,57,0,37,79,1092,95,248,112,62,161,228,162,52,140,198,0,47,0,712
"s__adolescentis",0,110,0,996,389,9164,0,0,85,273,0,456,196,117,9067,7775,257,139,167,794,471,141,228,0,0,74,0,40,102,0,10,0,0,5,69,0,0,0,0,0,82,191,128,0,0,0,0,0,103,0,0,198,2567,1322,0,124,28,5,93,417,52,0,0,0,755,721,76,0,1025,0,124,0
"s__D168",0,0,0,0,0,0,1470,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,162,0,0,0,0,0,2,93,0,0,0,0,0,0,49,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,69,0,0,186,0,0,0
"s__parainfluenzae",53,39,0,0,0,0,0,0,0,94,0,0,0,0,32,34,0,0,172,86,471,13,38,312,0,340,0,198,53,0,0,47,183,0,0,0,45,17,0,621,0,99,161,0,0,31,33,366,165,0,137,21,68,40,0,107,0,0,257,20,22,0,0,11,608,30,283,0,153,0,0,0
"s__viridiflava",0,102,0,0,0,90,0,60,0,84,0,0,0,0,0,95,73,0,122,106,95,31,87,0,0,0,0,177,153,39,106,0,37,198,138,158,103,0,0,0,0,78,101,50,0,0,54,45,109,0,0,0,64,49,0,0,0,0,69,0,93,0,0,0,0,0,58,0,51,0,62,0
"s__dispar",0,17,55,6,0,0,50,9,0,0,0,0,10,0,0,0,0,26,0,70,274,0,0,0,0,56,0,0,177,0,0,193,273,391,42,139,0,0,0,0,64,60,68,0,134,0,0,0,128,0,203,0,0,68,318,202,171,0,467,0,80,55,114,159,364,275,133,0,2,1,398,168
"s__aerofaciens",0,19,454,978,0,227,176,131,13,422,0,0,199,167,106,158,238,0,69,0,0,0,148,0,133,43,0,134,0,0,0,139,170,96,0,42,193,0,0,0,0,0,46,130,0,0,0,238,0,0,0,629,0,97,0,21,0,0,0,147,100,193,407,208,56,0,0,106,0,0,0,0
"s__plebeius",18,25,0,0,0,0,0,0,132,201,297,0,220,148,171,0,63,0,144,176,84,0,154,295,129,111,243,135,19,0,7,0,0,12,0,0,13,0,731,87,0,0,0,0,0,0,0,336,0,0,0,0,0,8,0,0,0,0,0,37,0,0,0,0,0,0,59,146,56,156,0,0
"s__producta",0,66,0,42,0,0,0,0,0,0,0,0,0,0,414,137,27,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,169,66,0,0,0,0,0,0,0,30,0,0,125,20,0,0,0,0,0,0,0,0,37,0,0,0,49,0
"s__callidus",0,0,39,64,0,0,77,11,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,106,17,48,8,0,0,0,0,43,0,0,63,0,23,8,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,68,0,0
"s__yabuuchiae",0,55,0,0,0,9,0,15,0,12,0,0,0,0,0,31,0,24,0,0,0,0,21,0,0,39,0,93,98,0,22,92,84,54,27,0,33,0,0,13,0,39,59,0,0,20,0,0,16,0,0,0,51,9,0,0,0,0,58,0,0,0,0,0,0,0,74,0,0,0,0,0
"s__bromii",0,31,143,189,0,41,101,104,102,63,27,0,73,137,0,40,64,62,0,0,0,390,0,0,0,0,751,141,0,33,14,147,0,0,23,16,190,737,0,0,24,156,0,0,0,0,0,341,0,0,0,101,62,104,0,57,0,54,17,191,0,24,0,0,228,28,29,0,183,0,0,0
"s__biforme",0,0,0,0,0,0,163,91,0,0,0,0,0,0,0,0,25,0,0,0,0,4,93,41,153,0,0,0,0,0,224,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,133,0,0
"s__reuteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,29,0,43,0,0,0,0,0,37,0,0,0,128,0,41,0,52,0,52
"s__uniformis",0,0,119,58,241,0,182,90,147,0,0,0,120,90,0,0,0,0,0,0,109,0,114,27,92,0,237,164,472,90,79,109,359,0,0,0,317,0,36,0,0,61,134,0,91,312,27,0,23,0,0,79,0,69,0,0,0,287,207,102,0,28,122,0,71,0,0,24,86,40,0,0
"s__stercorea",0,0,0,0,0,0,0,0,0,0,0,0,329,141,0,10,3,0,357,164,0,0,84,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,132,0,0
"s__caccae",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,70,0,0,134,0,126,0,0,0,0,0,0,0,0,0,9,86,0,0,0,0,157,64,0,0,0,0,0,0,0,24,263,109,42,0,0,0,60,150,0,0
"s__formicigenerans",61,0,90,107,150,150,114,146,90,179,61,123,0,89,166,102,0,13,0,0,66,0,134,0,103,39,132,189,23,0,27,153,153,67,81,0,0,0,0,0,0,148,80,138,0,0,0,124,0,0,0,156,192,100,0,138,0,0,98,99,39,115,0,0,0,0,157,4,154,135,0,0
"s__obeum",0,0,0,0,0,71,0,0,81,44,0,0,67,48,0,0,0,0,0,0,0,0,47,0,0,0,0,83,0,0,0,0,0,0,0,0,137,0,0,136,0,0,0,0,0,61,0,0,0,0,0,0,37,81,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__torques",0,98,0,73,0,0,127,0,0,0,0,101,0,88,0,0,0,0,0,0,93,0,0,0,0,0,111,88,71,90,56,94,0,0,0,0,93,98,0,0,58,0,0,56,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
"s__eutactus",0,0,0,0,0,0,0,0,95,0,0,0,112,110,0,0,0,0,0,0,0,0,77,0,96,0,129,84,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,107,155,0,0
"s__parvula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,71,76,0,0,0,0,56,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,2,98,0,91,0,0,0,0,30,22,0,73,0,24,66,0,43,156,79,78,0,0,0,87,181
"s__palleronii",0,104,0,0,0,23,0,0,0,0,0,0,0,0,0,158,0,103,0,0,0,0,32,0,0,0,32,136,123,0,0,103,172,0,0,0,84,0,0,0,0,182,196,18,20,163,150,0,26,0,0,0,160,0,0,0,0,0,155,0,0,17,0,0,15,0,95,0,0,0,0,0
"s__putredinis",0,0,348,44,299,0,40,0,111,123,0,0,119,106,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,117,0,472,0,0,0,0,0,53,120,113,394,0,0,0,0,0,0,0,0,0,0,0,134,0,113,0,0,0,0,0,0,0,0,0,0,0,0
"s__citroniae",116,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,70,0,0,0,0,0,139,127,0,0,89,0,0,90,0,0,0,0,0,0,0,128
"s__breve",0,187,0,46,0,23,0,14,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,0,28,0,8,0,29,0,0,0,0,0,0,34,0,5,0,28,0,14,0,0,0,0,0,0,0,40,0,112,0,71,0,0,0,0,0,0,0,0,0,0,31
"s__colinum",0,0,0,0,0,0,0,0,0,40,46,0,0,0,0,0,11,61,0,0,0,0,0,0,0,0,0,0,55,58,0,0,0,31,0,0,87,0,0,0,0,0,0,0,29,81,0,0,122,0,93,0,0,0,0,0,0,0,30,0,0,23,103,0,0,8,0,0,0,0,0,0
