ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err,_row
mmu04382,Cornified envelope formation,97,0.4282,1.4457,0.0226,0.0828,0.0755,1051,"tags=19%, list=8%, signal=17%",20762/20201/20759/20761/66195/71932/21816/71908/74127/26457/110310/386463/22234/70750/71913/16663/13518/66166,0.3525,mmu04382
mmu01524,Platinum drug resistance,70,0.4512,1.4408,0.0368,0.1233,0.1124,2020,"tags=23%, list=15%, signal=19%",14857/14858/14859/56615/14860/211666/19714/14862/14870/11796/18708/12043/11977/22590/68214/170770,0.3218,mmu01524
mmu05202,Transcriptional misregulation in cancer,137,0.4095,1.4393,0.0086,0.0386,0.0352,981,"tags=15%, list=7%, signal=14%",16193/17392/16421/12981/21939/13198/12475/22431/80859/12608/12444/12395/13197/15364/14048/17342/212980/104156/14009/14255/17095,0.3807,mmu05202
mmu05145,Toxoplasmosis,88,0.4315,1.4389,0.03,0.1044,0.0952,2354,"tags=22%, list=18%, signal=18%",18126/16160/21939/15978/21898/17087/16151/16775/320207/24088/54396/16452/11796/12043/20848/12675/22034/23928/21937,0.3525,mmu05145
mmu04518,Integrin signaling,127,-0.3809,-1.4361,0.0107,0.0466,0.0425,2214,"tags=37%, list=17%, signal=31%",18596/109711/14118/22329/18710/22330/114249/73341/109700/18654/60595/16202/18707/16400/54635/22341/12843/12445/94216/12643/11461/78369/319480/18591/11465/70549/16407/12443/16772/12841/21827/12835/21923/12833/12842/242022/241226/329278/12834/16000/329872/16780/231470/12845/13406/104099/21828,0.3807,mmu04518
mmu04925,Aldosterone synthesis and secretion,70,-0.4208,-1.4301,0.014,0.0568,0.0518,1807,"tags=27%, list=14%, signal=24%",18798/18747/16890/208677/18760/26427/11513/12292/381290/11932/207728/11931/18752/215303/12326/432530/12323/12291/11514,0.3807,mmu04925
mmu03050,Proteasome,44,-0.4534,-1.4256,0.0481,0.1522,0.1388,4588,"tags=84%, list=34%, signal=55%",19186/19185/67151/19170/17463/70247/69077/59029/66997/19179/26442/56436/26443/26444/66537/23996/66413/19167/22123/26441/19181/621823/23997/26440/19172/26445/19166/19175/19177/19184/26446/19188/19182/19173/19171/16913/16912,0.3218,mmu03050
mmu04936,Alcoholic liver disease,108,0.4155,1.4133,0.028,0.0987,0.09,3150,"tags=29%, list=24%, signal=22%",16193/14825/16160/12475/21898/329065/17087/12268/11522/16151/56489/12266/11529/19017/93759/80911/19766/14245/12675/56637/22034/21937/20249/66724/117149/625018/56480/266632/105787/11671/107476,0.3525,mmu04936
mmu01522,Endocrine resistance,84,-0.4008,-1.4113,0.0188,0.0721,0.0658,2109,"tags=21%, list=16%, signal=18%",16450/18710/18131/18747/18128/18707/12580/11513/13982/12443/15200/13388/76854/12124/16000/432530/17395/11514,0.3525,mmu01522
mmu04141,Protein processing in endoplasmic reticulum,156,0.3886,1.4023,0.0156,0.0619,0.0564,3939,"tags=38%, list=30%, signal=27%",13198/14828/64209/22027/17872/12282/11911/100037258/17155/12330/67075/226641/20338/18024/108159/12317/14827/216440/12043/12304/140740/240667/18415/78943/80286/71853/270669/67838/13418/77371/74126/72265/18453/192193/50762/66059/67819/66967/12915/103963/13666/27061/66530/19089/108687/22393/320011/22433/81910/226418/17156/66753/12033/66397/193670/54609/69276/110616/15519/12028,0.3807,mmu04141
mmu04660,T cell receptor signaling pathway,92,0.4151,1.3861,0.0453,0.1459,0.133,2198,"tags=17%, list=16%, signal=15%",108723/12981/15978/26410/21682/16818/12487/57257/16151/16476/18708/20663/26395/14360/12675/56637,0.3218,mmu04660
mmu04723,Retrograde endocannabinoid signaling,97,-0.3836,-1.3774,0.0216,0.0809,0.0737,2968,"tags=44%, list=22%, signal=35%",70316/69875/407785/14678/17995/226646/66377/67184/68349/227197/67264/14693/104130/12287/68202/225887/17993/66218/66108/66414/12286/66091/14702/68342/66916/72900/68194/14696/230075/18798/68198/12801/18747/72961/11513/12292/14704/18752/53623/23945/14401/432530/11514,0.3525,mmu04723
mmu05207,Chemical carcinogenesis - receptor activation,148,0.3882,1.3757,0.0275,0.0979,0.0893,2023,"tags=25%, list=15%, signal=21%",14857/14858/14859/71932/16600/56615/14860/394432/13113/18751/211666/11444/78284/394435/14178/22339/22027/13849/14862/11911/231991/13685/14165/56489/53973/21943/16476/16452/18708/94284/12043/20663/104110/26395/68214/13649/20848,0.3525,mmu05207
mmu04024,cAMP signaling pathway,142,-0.3609,-1.3621,0.015,0.0603,0.055,1973,"tags=26%, list=15%, signal=22%",15166/18018/18479/11539/18747/54611/11705/16890/18577/18707/208677/11554/58991/26427/106952/11513/170483/11517/12292/19013/381290/11932/11540/11931/170458/53623/11555/19217/56508/64082/12326/432530/12323/15552/14632/98932/11514,0.3807,mmu04024
mmu04934,Cushing syndrome,119,-0.3629,-1.3367,0.0254,0.0924,0.0842,1807,"tags=21%, list=14%, signal=18%",18798/21415/18747/12566/208677/57265/12580/69544/26427/11513/12292/114230/12443/22417/216795/12447/22411/22409/12448/110115/432530/22420/12323/12291/11514,0.3525,mmu04934
mmu03013,Nucleocytoplasmic transport,98,-0.3603,-1.3288,0.0472,0.1508,0.1375,4020,"tags=44%, list=30%, signal=31%",51796/107939/72322/19704/13680/67031/17149/103573/70699/170722/68092/18141/72787/433702/74412/56488/60365/170762/226432/77595/192170/386612/18226/16211/73666/22196/234865/110379/20220/69482/103468/71805/170930/69736/69912/19384/53817/223921/445007/21681/19387/54563/16647,0.3218,mmu03013
mmu04510,Focal adhesion,176,-0.3308,-1.3093,0.0373,0.1233,0.1124,1851,"tags=24%, list=14%, signal=21%",17907/109700/18479/18654/60595/16202/18707/16400/54635/22341/12843/12445/94216/22323/238564/12643/11461/319480/18591/11465/70549/12443/16772/18752/12841/21827/12835/21923/12391/12833/12842/241226/329278/12834/12389/16000/213435/16780/98932/12845/17906/104099/21828,0.3218,mmu04510
mmu04530,Tight junction,128,-0.3374,-1.2858,0.0373,0.1233,0.1124,2818,"tags=30%, list=21%, signal=24%",19079/27494/21873/77579/67268/105782/23859/22145/93737/17886/108099/109711/67771/68089/83964/22376/217325/72058/18538/18747/60595/241113/108097/17904/22142/22323/60363/11461/11465/242894/12443/22146/216459/22143/58220/98932/17906/70737,0.3218,mmu04530
mmu05200,Pathways in cancer,437,0.3185,1.2665,0.0341,0.1163,0.1061,2245,"tags=22%, list=17%, signal=19%",16644/18126/385643/14857/16193/14858/14859/12983/16160/15978/19225/56615/14860/15368/14710/20525/18751/17311/211666/18104/20315/21812/12984/12444/13819/14366/12395/13197/14178/12062/22339/22410/22027/15234/16164/18795/19877/212398/17342/14706/18712/14862/16453/112407/14255/22340/14182/16194/14165/16151/15251/16775/108989/22414/19878/69635/16190/15976/20847/112405/14870/18595/19219/18024/16476/16452/13614/16195/11789/11796/16161/22422/56636/18708/14701/18510/12043/20663/104110/26395/68214/13649/170770/20848/16001/18715/12675/11515/16188/17869/328572/56637/22034/23928/19765/17979,0.2879,mmu05200
mmu05012,Parkinson disease,207,-0.3127,-1.2426,0.0206,0.078,0.0711,4086,"tags=57%, list=31%, signal=40%",70247/66576/66152/12862/170731/69077/59029/66694/67273/12371/66997/18803/19179/12864/12314/22334/12865/22335/12867/16593/26442/12322/22195/16572/54405/66046/66142/56436/26443/140499/66925/22201/26444/12869/73710/68375/70316/22186/23996/69875/407785/66413/12866/68015/14678/19167/22123/17995/226646/26441/13665/67003/66377/19181/64704/12858/23997/26440/16574/67184/19172/68349/67530/11739/227197/26445/19166/67264/12315/12861/104130/66945/68202/66052/22145/225887/22059/19175/17993/67680/19177/215999/105675/66218/11740/66108/110323/19184/66414/26446/12859/66091/68342/66916/72900/68194/230075/66445/66594/19182/22273/68198/19173/18747/13063/67847/22154/22151/22142/20192/67951/11540/227613/22146/22143/12323/333182,0.3525,mmu05012
