ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err,_row
mmu04261,Adrenergic signaling in cardiomyocytes,116,-0.4865,-1.8023,0,0.0006,0.0006,1807,"tags=27%, list=14%, signal=23%",18798/54378/18747/326618/208677/21924/11554/26427/11513/22004/12292/21956/381290/11932/11548/22003/11931/11555/11550/17896/11464/17888/56508/64082/140781/432530/12323/56808/17906/11514/16535,0.5573,mmu04261
mmu04623,Cytosolic DNA-sensing pathway,57,0.5757,1.7888,0.0015,0.009,0.0082,1514,"tags=19%, list=11%, signal=17%",20303/16193/15945/20304/77125/54123/16151/56489/58203/26388/15951,0.4551,mmu04623
mmu00600,Sphingolipid metabolism,43,0.61,1.7725,0.0013,0.0084,0.0076,2286,"tags=49%, list=17%, signal=41%",11605/22234/70750/56336/230379/15212/20698/81535/11886/74442/14420/18010/20397/19156/20773/76893/11883/15211/14667/67260/67630,0.4551,mmu00600
mmu04156,Integrated stress response (ISR) signaling pathway,49,0.593,1.7671,0.0015,0.009,0.0082,2033,"tags=29%, list=15%, signal=24%",228775/69065/13198/11910/14828/103172/107503/17872/11911/74747/56636/74142/170770/108954,0.4551,mmu04156
mmu04064,NF-kappa B signaling pathway,82,0.5342,1.7608,0.0008,0.0057,0.0052,713,"tags=16%, list=5%, signal=15%",20303/108723/14825/21939/19225/12475/21898/18751/16992/20315/13197/17087/16818,0.4773,mmu04064
mmu05322,Systemic lupus erythematosus,25,0.6784,1.7604,0.0049,0.025,0.0228,1268,"tags=40%, list=10%, signal=36%",21939/15978/14131/317677/667277/50908/50909/12487/12268/12266,0.407,mmu05322
mmu04062,Chemokine signaling pathway,137,0.5004,1.7586,0.0001,0.0011,0.001,2198,"tags=28%, list=16%, signal=24%",20302/20303/20307/12768/14825/20311/15945/20304/20306/57349/20292/20296/14710/18751/20315/18762/18795/19877/14706/16453/216148/57257/16151/320207/19878/12775/20847/16452/18708/14701/271849/20663/14773/104110/26395/20848/12675/11515/56637,0.5384,mmu04062
mmu05150,Staphylococcus aureus infection,27,0.6528,1.7438,0.0032,0.0178,0.0163,1309,"tags=63%, list=10%, signal=57%",16414/12796/20344/14131/317677/667277/12628/50908/14962/50909/17174/16663/17175/12268/19204/12266/16408,0.4317,mmu05150
mmu04380,Osteoclast differentiation,106,0.5083,1.7225,0.0006,0.0045,0.0041,2256,"tags=33%, list=17%, signal=28%",14728/16175/15978/83433/14131/19261/21812/14283/21682/13038/16818/12702/17342/16416/16439/16151/14284/18412/21943/15976/20847/16440/16476/16391/17060/17972/18708/26395/53313/16177/14360/14389/12675/22034/16478,0.4773,mmu04380
mmu05167,Kaposi sarcoma-associated herpesvirus infection,160,0.4742,1.7067,0.0002,0.002,0.0018,2255,"tags=24%, list=17%, signal=20%",16193/12768/15007/14825/239849/12981/74603/19225/14710/240095/22339/14706/16439/54123/16151/15251/56489/320207/12266/100504663/15976/20847/142980/15040/16440/16476/16391/16452/16195/18708/14701/67443/26395/20848/12675/17869/328572/56637/15006,0.5188,mmu05167
mmu04625,C-type lectin receptor signaling pathway,87,0.5245,1.7005,0.001,0.0068,0.0062,1524,"tags=16%, list=11%, signal=14%",56619/17474/16193/16160/19225/14127/12795/16439/16151/56489/20847/16440/16476/16391,0.4551,mmu04625
mmu04668,TNF signaling pathway,108,0.499,1.6973,0.0008,0.0056,0.0051,1965,"tags=24%, list=15%, signal=21%",16193/17392/14825/12981/20311/15945/20304/19225/26410/20296/16992/12608/78284/12702/11911/231991/16151/11491/16476/13614/11796/18708/12051/19766/217344/26395,0.4773,mmu04668
mmu03010,Ribosome,166,-0.4358,-1.6971,0.0001,0.0007,0.0006,5696,"tags=63%, list=43%, signal=36%",19943/118451/24030/56040/67840/20090/19989/20116/20005/107734/69163/74600/60441/237433/94067/19899/59054/27367/54217/19935/64655/76846/19896/66419/22121/20055/67945/67036/65111/64660/57808/68052/18100/78294/57312/68565/20104/16785/68836/66292/19988/67025/67308/75398/66489/66223/67115/66407/26961/66163/68537/56280/107732/232536/79044/94064/66448/66230/64657/66480/216767/99045/66258/14548/94062/56284/68499/19942/69956/218506/64659/67212/18120/22186/225215/67941/107733/353242/64656/100502825/77721/52443/19946/50529/27397/67994/27395/68028/57294/56282/68611/78523/66493/66077/68735/66121/67270/102060/66242/66128/67681/94063/64658/68436,0.5573,mmu03010
mmu00910,Nitrogen metabolism,13,0.7392,1.6962,0.0114,0.0491,0.0448,477,"tags=38%, list=4%, signal=37%",12353/12319/230099/76459/12354,0.3807,mmu00910
mmu04514,Cell adhesion molecule (CAM) interaction,79,0.5175,1.6916,0.0031,0.0176,0.016,1415,"tags=28%, list=11%, signal=25%",16421/15007/21939/16414/20344/71908/16728/171171/240095/19274/207683/18007/319504/12487/320910/52118/16456/53321/60533/12737/16408/15040,0.4317,mmu04514
mmu04640,Hematopoietic cell lineage,49,0.5664,1.6879,0.0038,0.0204,0.0186,1338,"tags=29%, list=10%, signal=26%",16193/16175/12981/12489/12475/16790/17311/13136/16416/14255/16194/17380/12479/16190,0.4317,mmu04640
mmu04080,Neuroactive ligand-receptor interaction,130,0.4838,1.6823,0.0007,0.0048,0.0044,1158,"tags=28%, list=9%, signal=26%",103964/16644/385643/228139/12424/22072/18166/223780/381853/11535/21337/30878/54140/19065/94226/11541/64095/15558/15551/71897/54598/11444/12918/18438/12062/16847/19220/54615/18439/14799/93670/18440/233571/14714/19204/14658,0.4773,mmu04080
mmu00052,Galactose metabolism,24,0.6254,1.6777,0.0164,0.0643,0.0586,2492,"tags=50%, list=19%, signal=41%",15277/11605/103988/232714/319625/18641/11997/66681/14387/56421/14430/216558,0.3525,mmu00052
mmu03420,Nucleotide excision repair,57,-0.4993,-1.6642,0.0033,0.0178,0.0163,3787,"tags=44%, list=28%, signal=32%",20021/107986/231329/17420/17749/28015/13194/67967/69920/69241/68240/66491/18538/19718/18974/59001/18972/106344/18971/68275/19891/69263/16881/72151/18973,0.4317,mmu03420
mmu05321,Inflammatory bowel disease,38,0.58,1.6617,0.009,0.04,0.0365,2028,"tags=34%, list=15%, signal=29%",16193/16175/16160/15978/19883/21898/19885/24088/16190/16476/16161/20848/14462,0.3807,mmu05321
mmu04512,ECM-receptor interaction,73,-0.4715,-1.6581,0.0048,0.0246,0.0224,1447,"tags=37%, list=11%, signal=33%",16400/14724/14729/12843/94216/12643/319480/12491/16772/12841/21827/12835/21923/12833/12842/242022/15366/241226/329278/12834/329872/16780/231470/12845/13406/104099/21828,0.407,mmu04512
mmu05163,Human cytomegalovirus infection,191,0.4526,1.6555,0.0004,0.0034,0.0031,2354,"tags=25%, list=18%, signal=21%",20302/20303/16193/12768/15007/20304/19225/20296/14710/18751/20315/78284/240095/22339/18795/19877/14706/16416/16439/11911/231991/13685/16194/16151/12010/19878/15040/16440/18595/19219/12317/14827/18708/14701/20663/19766/104110/26395/16177/13649/20848/12675/11515/17869/56637/15006/213233/21937,0.4985,mmu05163
mmu04260,Cardiac muscle contraction,64,-0.491,-1.654,0.0032,0.0178,0.0163,3639,"tags=59%, list=27%, signal=43%",12864/12865/11928/12867/15464/66142/12869/21954/12298/12866/67003/12858/67530/11937/12861/59069/12373/110323/12859/66445/66594/22273/54378/326618/21924/22004/12292/21956/11932/22003/11931/17896/11464/17888/140781/56808/17906/333182,0.4317,mmu04260
mmu04672,Intestinal immune network for IgA production,21,0.6478,1.6457,0.0125,0.0531,0.0484,778,"tags=33%, list=6%, signal=31%",16193/16421/21939/11628/20315/69583/12487,0.3807,mmu04672
mmu04971,Gastric acid secretion,53,-0.5021,-1.6454,0.0028,0.0163,0.0149,1189,"tags=26%, list=9%, signal=24%",238564/11513/11461/11465/11932/11931/18752/12349/208890/213435/432530/12323/11514/16535,0.4317,mmu04971
mmu04630,JAK-STAT signaling pathway,111,0.4811,1.6424,0.0017,0.0101,0.0092,2322,"tags=35%, list=17%, signal=29%",16193/16165/12983/16160/12981/15978/329244/12984/18414/12444/16164/16847/12702/18712/16453/53603/16194/12803/16190/15976/20847/18595/16391/16452/16195/16161/57914/18708/12043/20663/19255/14600/13649/20848/16188/17869/328572/12700/13645,0.4551,mmu04630
mmu05168,Herpes simplex virus 1 infection,139,0.4593,1.604,0.0008,0.0056,0.0051,2424,"tags=28%, list=18%, signal=23%",16193/15007/16160/23961/15978/20304/20296/16992/240095/12702/16416/54123/13685/16151/56489/12010/24088/12266/15976/20847/142980/15040/16391/16452/12317/11796/245610/14827/18708/78781/12043/12675/56009/22034/15006/213233/21937/69550/24014,0.4773,mmu05168
mmu00531,Glycosaminoglycan degradation,16,0.669,1.5949,0.0218,0.0809,0.0737,2164,"tags=62%, list=16%, signal=52%",15586/27419/15212/75612/27029/109685/15442/15211/52120/15932,0.3525,mmu00531
mmu04613,Neutrophil extracellular trap formation,84,0.4874,1.594,0.0065,0.032,0.0292,1309,"tags=19%, list=10%, signal=17%",64008/13058/16414/12796/20344/14131/21898/18751/12363/22371/18795/16416/24088/12266/12728/16408,0.407,mmu04613
mmu05160,Hepatitis C,119,0.4502,1.5926,0.0033,0.0178,0.0163,2424,"tags=28%, list=18%, signal=23%",23961/15957/15978/15945/17857/71908/58185/17858/12702/22259/54123/16151/56489/12737/15976/20847/142980/16391/12738/18708/20663/19766/26395/13649/20848/12675/17869/56637/22034/13645/21937/12739/24014,0.4317,mmu05160
mmu04933,AGE-RAGE signaling pathway in diabetic complications,88,0.4767,1.5898,0.0062,0.0308,0.028,1861,"tags=24%, list=14%, signal=21%",16193/16175/21824/13058/20296/18751/21812/18762/22339/18795/18712/18754/22340/18127/18802/14066/16476/16452/13614/18708/12043,0.407,mmu04933
