"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610005C13Rik",6.6334016577277,-2.47709661534622e-06,0.00144269320837765,0.0912250300420297,0.999626031159817
"0610007P14Rik",1298.83719035533,2.04726109076369e-06,0.0014422852045373,0.90580713757338,0.999626031159817
"0610009B22Rik",981.426266655625,1.19219843660417e-05,0.00144259327859723,0.212079485222734,0.999626031159817
"0610009L18Rik",42.9062103061908,3.068278942409e-06,0.00144268071908636,0.366716331521534,0.999626031159817
"0610009O20Rik",1290.14662353178,9.64226598779402e-06,0.00144236236003977,0.513025764626494,0.999626031159817
"0610010F05Rik",914.56194915513,-8.0951240955711e-07,0.00144263881002707,0.897541601323749,0.999626031159817
"0610010K14Rik",1002.23971369382,-6.33923427082597e-06,0.00144246406302249,0.627811874589779,0.999626031159817
"0610011F06Rik",389.35819573828,2.06613838991177e-05,0.00144258366117054,0.0732003912830122,0.999626031159817
"0610012G03Rik",423.407265333254,2.93616400894826e-05,0.00144270932054121,0.30007002014557,0.999626031159817
"0610030E20Rik",987.965809444643,6.29114446173094e-06,0.00144259028458372,0.483987684927192,0.999626031159817
"0610037L13Rik",1071.34874955205,1.23793328964784e-05,0.00144247457105355,0.185550530520472,0.999626031159817
"0610038B21Rik",9.94149385042066,-3.94663024881772e-07,0.00144268913835905,0.84737904950064,0.999626031159817
"0610040B10Rik",23.8160329495805,7.06289966200695e-07,0.00144268723282957,0.769499921054706,0.999626031159817
"0610040J01Rik",3.56767013841724,-3.77962555004591e-07,0.00144269456168289,0.537350590560753,0.999626031159817
"1110001J03Rik",128.70718000097,-1.1881110949943e-05,0.00144264814240271,0.287274797601254,0.999626031159817
"1110002L01Rik",70.8620224873964,-7.96776869966586e-07,0.00144267185135202,0.843929759561649,0.999626031159817
"1110004E09Rik",705.590936990087,1.28729385403592e-06,0.00144258850531604,0.884278303261599,0.999626031159817
"1110004F10Rik",2876.76211344038,1.85260182771089e-05,0.00144253959331855,0.137163622838721,0.999626031159817
"1110006O24Rik",10.5051022808635,2.20964053210366e-06,0.00144268981529129,0.29072885682633,0.999626031159817
"1110007C09Rik",1575.87194897358,4.20201588106389e-06,0.00144261539424749,0.587481498635476,0.999626031159817
"1110008F13Rik",1350.00821761735,6.40128121467609e-06,0.00144264993382217,0.29787456542313,0.999626031159817
"1110008L16Rik",678.899001508957,-6.32400746758643e-06,0.00144239420581221,0.672283862106567,0.999626031159817
"1110008P14Rik",835.32591390121,2.26830701997741e-05,0.00144264793336097,0.333876786232071,0.999626031159817
"1110012L19Rik",986.27708604948,5.40917643530649e-06,0.00144264561478604,0.389269691474761,0.999626031159817
"1110019D14Rik",112.244672212167,-1.45749754192138e-06,0.00144267109603605,0.726655256493907,0.999626031159817
"1110020A21Rik",15.5419324286985,1.79150711867406e-07,0.00144268620004679,0.944623077757529,0.999626031159817
"1110032A03Rik",316.119710554533,1.27925712812433e-05,0.00144264817123437,0.165612706677407,0.999626031159817
"1110034G24Rik",176.946002243731,-1.98773074583119e-06,0.00144264022874327,0.895316729134508,0.999626031159817
"1110037F02Rik",3218.55989476476,-1.13594816339587e-05,0.00144260097680044,0.186245933977354,0.999626031159817
"1110038B12Rik",2235.47846188004,3.70522081985947e-06,0.00144265590148059,0.500025204931128,0.999626031159817
"1110038F14Rik",1014.68667298519,8.64795772667574e-06,0.00144248389450829,0.496933887298918,0.999626031159817
"1110046J04Rik",206.683819962619,3.30830767397421e-06,0.00144266635803573,0.481670116480101,0.999626031159817
"1110051M20Rik",1480.57480820516,-3.04506267303099e-06,0.00144244029266327,0.76994929660171,0.999626031159817
"1110059E24Rik",1074.19078789903,1.52571458201174e-06,0.00144250916764685,0.732912430801892,0.999626031159817
"1110059G10Rik",629.099693521827,-2.28491941509304e-05,0.00144268546350681,0.888023178487586,0.999626031159817
"1110065P20Rik",314.780639745777,8.56329047249327e-06,0.00144264585125963,0.199955816397237,0.999626031159817
"1190002F15Rik",66.4494980641178,2.4117946396395e-06,0.00144267503904374,0.538801478175064,0.999626031159817
"1190002N15Rik",5334.23695986704,1.14971896457536e-05,0.00144268796408063,0.56517236603485,0.999626031159817
"1190005I06Rik",4.56849973675064,4.86581771800036e-07,0.00144269206523159,0.741766193649923,0.999626031159817
"1190007I07Rik",79.5595841221966,4.132631109474e-06,0.00144266293067269,0.410894550466367,0.999626031159817
"1200014J11Rik",1760.22673529408,-1.38813395514414e-05,0.00144251474977131,0.263268972059451,0.999626031159817
"1300002E11Rik",283.271928385619,-1.13762064577787e-06,0.00144264231908575,0.85034729939519,0.999626031159817
"1500004A13Rik",84.4844928082239,4.69164610100206e-06,0.00144266600250558,0.334850319787035,0.999626031159817
"1500009L16Rik",14.4110581886608,-4.34116423350617e-08,0.00144268638358773,0.984816534425914,0.999626031159817
"1500011B03Rik",325.314155280729,3.71130356887478e-06,0.00144267011046883,0.404200449893813,0.999626031159817
"1500011K16Rik",475.68212074394,7.50618903888663e-06,0.00144260857284401,0.36801646001913,0.999626031159817
"1500012F01Rik",2066.15908784026,4.44331336535898e-06,0.00144266418930003,0.37302783688536,0.999626031159817
"1500015A07Rik",62.7850257508094,2.42115185221046e-06,0.0014426889490117,0.287320843036549,0.999626031159817
"1500015O10Rik",18.9746157314582,4.24661386945254e-07,0.00144269212390465,0.774989539887575,0.999626031159817
"1500017E21Rik",96.6908926320731,-4.02845117177798e-06,0.00144266465855132,0.410118680819058,0.999626031159817
"1600002H07Rik",320.148604177147,1.50992843298849e-05,0.0014426237370054,0.591028957106733,0.999626031159817
"1600002K03Rik",236.746659137517,5.85673764210574e-06,0.0014426644591681,0.217142226777476,0.999626031159817
"1600012H06Rik",1778.45874508363,8.00463590688378e-06,0.00144244668498124,0.558949100317141,0.999626031159817
"1600014C10Rik",780.371756201903,1.00300692848799e-06,0.00144262445293026,0.889327492937776,0.999626031159817
"1600020E01Rik",222.331712036851,6.41112160303923e-06,0.0014426716913153,0.172059864972893,0.999626031159817
