"contrast","question","n_samples","coef","up","down","total","padj_NA"
"T4400_vs_DMSO","药物 T4400 的效应（无超声）",8,"Grp_T4400_vs_DMSO",116,12,128,832
"T3976_vs_DMSO","药物 T3976 的效应（无超声）",8,"Grp_T3976_vs_DMSO",0,1,1,1935
"DMSOLIPUS_vs_DMSO","超声单独的效应（无药）",8,"Grp_DMSO.LIPUS_vs_DMSO",0,0,0,49
"T4400LIPUS_vs_T4400","超声叠加在 T4400 之上的效应",8,"Grp_T4400.LIPUS_vs_T4400",0,0,0,3
"T3976LIPUS_vs_T3976","超声叠加在 T3976 之上的效应",8,"Grp_T3976.LIPUS_vs_T3976",1,0,1,879
