"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610005C13Rik",4.85967292140875,-8.18474478814575e-06,0.0123632105458302,0.96887066984893,0.99961945466451
"0610007P14Rik",1192.17623683414,0.000122182922677841,0.0122644544626236,0.934225819196064,0.99961945466451
"0610009B22Rik",850.270353358734,0.00197366137466481,0.0124556590673357,0.238101292070591,0.99961945466451
"0610009L18Rik",29.7135367376922,0.000728488743149376,0.0123836788150575,0.203172463170193,0.99961945466451
"0610009O20Rik",1232.32175093347,-0.00275559358872339,0.0126391398407762,0.405146384125005,0.99961945466451
"0610010F05Rik",824.26451559631,0.000784468918263252,0.012380746053119,0.204660613074836,0.99961945466451
"0610010K14Rik",942.928058418097,-0.00181920573615546,0.0124791930374773,0.199544229760049,0.99961945466451
"0610011F06Rik",372.108021249754,-0.00055340710245194,0.0122896638715931,0.712695365131595,0.99961945466451
"0610012G03Rik",357.66454320791,-0.000424394089244535,0.0123146553224323,0.723795789058751,0.99961945466451
"0610030E20Rik",933.373716139571,0.00211270059015632,0.0125586534184345,0.121551501658337,0.99961945466451
"0610037L13Rik",1050.31987586599,0.00041793989461083,0.0122686051059228,0.788632277395054,0.99961945466451
"0610038B21Rik",7.45134553551802,-0.000118283447834179,0.0123630527219661,0.656879743829395,0.99961945466451
"0610040B10Rik",20.2500737957503,-0.00018647181396753,0.0123601189641068,0.652219002916768,0.99961945466451
"0610040J01Rik",0.744964527307656,-1.63008606326469e-05,0.0123649012738759,0.851167038398629,0.99961945466451
"1110001J03Rik",131.237206598351,-0.000526884360485126,0.0123554052885742,0.508592342718907,0.99961945466451
"1110002L01Rik",69.5555709941556,1.4031602160858e-05,0.0123432947401738,0.986209513100588,0.99961945466451
"1110004E09Rik",625.148441416375,0.000662789186498519,0.0123357763245648,0.543725750922912,0.99961945466451
"1110004F10Rik",2845.22005098464,-1.28552250078217e-05,0.0122598792413972,0.993594971942654,0.99961945466451
"1110006O24Rik",8.55263866523391,0.000306820732962434,0.0123667866809983,0.330733898079374,0.99961945466451
"1110007C09Rik",1208.35408956135,0.000258455734758453,0.012328514346362,0.795671545979635,0.99961945466451
"1110008F13Rik",1152.60816506795,0.000482161220111293,0.0123093442421792,0.710185056882676,0.99961945466451
"1110008L16Rik",604.06551517408,-0.000897375660055495,0.0122603428963903,0.636849758696311,0.99961945466451
"1110008P14Rik",696.612391694781,0.000127281193737189,0.0122610147433175,0.92435408228892,0.99961945466451
"1110012L19Rik",813.168575810275,9.97903823481842e-05,0.0123245955718665,0.921795571646779,0.99961945466451
"1110019D14Rik",96.0228077416506,-0.00046449589172421,0.0123569044305501,0.515499136825534,0.99961945466451
"1110020A21Rik",11.9079586274998,9.75522560008648e-05,0.0123613918642346,0.766039751268194,0.99961945466451
"1110032A03Rik",270.412714677725,-0.000665364500388921,0.0123244062689957,0.600111001839499,0.99961945466451
"1110034G24Rik",134.444892575914,-7.53433351839075e-05,0.012321854326199,0.940698431537322,0.99961945466451
"1110037F02Rik",3124.76894405048,0.00135403058592946,0.0123786249135323,0.496520858711525,0.99961945466451
"1110038B12Rik",1725.33108920273,0.000832235518023715,0.0123679760453815,0.390759160738821,0.99961945466451
"1110038F14Rik",945.496651925613,-0.00036524814734228,0.012264259670585,0.873461683715951,0.99961945466451
"1110046J04Rik",178.800371161033,-0.000728827164833678,0.0123617217721874,0.428584806985313,0.99961945466451
"1110051M20Rik",1391.19050979574,-0.00304523761820392,0.0126857756412975,0.187927931775733,0.99961945466451
"1110059E24Rik",1089.91087409663,-0.000498049978114429,0.012243685976718,0.780828443758861,0.99961945466451
"1110059G10Rik",568.769537378889,0.00304208932188247,0.0128483928612526,0.0258701297125055,0.99961945466451
"1110065P20Rik",315.685724608242,2.07072861832106e-05,0.012330057894796,0.983280877926874,0.99961945466451
"1190002F15Rik",91.3849984524038,-0.000721002640728253,0.0123692927106201,0.370959205789641,0.99961945466451
"1190002N15Rik",5412.35648422011,0.000578480046899293,0.0123573738530939,0.483097979665846,0.99961945466451
"1190005I06Rik",5.74399963725142,-2.98582409228307e-05,0.0123637226204246,0.870909333086325,0.99961945466451
"1190007I07Rik",67.9579623779492,0.000226961495052848,0.0123412350941852,0.780069841834992,0.99961945466451
"1200014J11Rik",1704.65899094953,0.000770759871103327,0.0122199410859889,0.61583202629163,0.99961945466451
"1300002E11Rik",212.527465559598,0.00247043500730718,0.012659917561896,0.0621350429109204,0.99961945466451
"1500004A13Rik",78.4773980215454,0.0016732991914864,0.0125061515492809,0.0415417876586304,0.99961945466451
"1500009L16Rik",18.969500724163,-0.00027041860830868,0.0123619212765966,0.529980678324058,0.99961945466451
"1500011B03Rik",238.456187347201,0.000441162284964169,0.012355099720352,0.545367019074777,0.99961945466451
"1500011K16Rik",429.550631151037,0.000615940418190454,0.0123338992068215,0.59753562567256,0.99961945466451
"1500012F01Rik",1631.95337699303,0.00106426034696673,0.0123673925198506,0.397281265892654,0.99961945466451
"1500015A07Rik",48.2696195166544,0.000425538712104256,0.0123712320815679,0.21818073772107,0.99961945466451
"1500015O10Rik",37.538592108639,-0.000567894655168351,0.0123737945211462,0.263522309839521,0.99961945466451
"1500017E21Rik",72.3299774183109,0.000241223089341721,0.0123525639861023,0.700675173827164,0.99961945466451
"1600002H07Rik",303.824457187517,-0.000439448044266671,0.0122884567837509,0.758722548961529,0.99961945466451
"1600002K03Rik",183.714500565134,0.000257332260072306,0.0123424294311499,0.750717924995487,0.99961945466451
"1600012H06Rik",1589.29047502685,0.0061390815007686,0.0144385610950924,0.0150498253694151,0.99961945466451
"1600014C10Rik",636.5046234938,5.38172691952012e-06,0.012307370851285,0.81038597332,0.99961945466451
"1600020E01Rik",190.214101217619,0.0013644273558929,0.012431491511396,0.192493708200244,0.99961945466451
"1600027J07Rik",12.384590354786,-5.33378822963873e-05,0.0123627109459087,0.830290354936988,0.99961945466451
"1700001G11Rik",4.10913297925926,2.51309955841281e-05,0.0123639534992029,0.887081372593053,0.99961945466451
