"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Actn2",1433.29396607731,0.520056938628496,0.09271278602637,9.10321731487411e-10,1.21673602630607e-05
"Hspb7",911.103890448579,0.64761359918862,0.125499422835892,1.05351928902928e-08,7.04066940858265e-05
"Hrc",2691.96984779518,0.291160581805232,0.0621502627493414,1.23733216042914e-07,0.000413454541407397
"Pdgfra",2059.31711495926,-0.267143209064781,0.0564180805789014,9.84746591768232e-08,0.000413454541407397
"Fxyd6",176.745283338501,0.991712267063635,0.216351676382692,1.80533244484279e-07,0.000418025327623507
"Fzd1",8292.69640688918,-0.20013614837661,0.0438963244186167,2.4392698029058e-07,0.000418025327623507
"Trim54",966.112289356681,0.310547938193424,0.0684693596682037,2.51222709514123e-07,0.000418025327623507
"Tspan32",377.981765111923,0.43865091884983,0.096179613702964,2.17244020182317e-07,0.000418025327623507
"Zfp503",2617.05480182741,-0.20983834692372,0.0464021730318362,2.81477476328861e-07,0.000418025327623507
"Mylpf",39241.5237497369,0.361065718396695,0.0822309424658391,3.83486873607781e-07,0.000465971413876509
"Ranbp3l",469.221417517524,-0.634776503353513,0.142947976562906,3.76687539461545e-07,0.000465971413876509
"Art1",284.126106468202,0.683707773782885,0.154966539030731,4.24017009572904e-07,0.00047228427916262
"Dhrs7c",394.709253408456,0.395440950924674,0.095547518637002,1.42951069424899e-06,0.00146975691841015
"Tcap",127.895762539445,0.903049051759347,0.223688598189669,2.09328281905528e-06,0.00199848701139235
"Tnfrsf19",64.2132994847097,0.840372374712718,0.20923218535359,2.39137898466471e-06,0.0021308781006019
"Adssl1",2981.33480326504,0.275144304630923,0.0687981254380945,2.68631333958909e-06,0.00224407900605923
"Mybpc2",145.818201319423,0.639599860039024,0.161978623657014,3.10101299348163e-06,0.00243812586299267
"Casq2",15624.8917963191,0.30774480176366,0.0784923079489612,3.50968716581469e-06,0.00246897256096206
"Prkar2b",2227.68200547356,-0.213127411041781,0.0539223826517066,3.41123234188042e-06,0.00246897256096206
"Slc44a4",206.299156852509,0.448430182214916,0.116685381085842,4.67694373785573e-06,0.00312560150000898
"Ablim2",155.068576536817,0.623800273065526,0.165662294395755,6.30106721864355e-06,0.00401047925925665
"Atp1a2",1889.22764379359,0.347709357120686,0.0924562866964592,6.67631839137824e-06,0.00405616689178007
"Prr32",82.8081197365273,0.845688882001664,0.22702504392208,7.25877603011646e-06,0.00421829567037116
"Tnnc1",18895.951715359,0.282054209943874,0.0758995408004327,8.3235179442602e-06,0.00463550586845757
"Porcn",2872.64444607329,0.280562294948539,0.0762023505237986,9.33436211863279e-06,0.00499052336310583
"Tnni2",5026.3861429662,0.282517095334679,0.0776151549090268,1.11633104476082e-05,0.00573880028625891
"Aldh3b1",1935.21628508257,0.240249976587942,0.0664997093723291,1.25678063273847e-05,0.00622152960636384
"Clic5",255.709637909912,0.485235573215236,0.137407511395455,1.50644265087577e-05,0.00719111159700198
"Hephl1",338.935392551061,0.473919583335197,0.134361915592675,1.56530205266896e-05,0.00721442318481838
"Slc1a3",5727.72263958148,-0.460195587995538,0.133653548237682,2.08985808263471e-05,0.00901065907499855
"Trim72",4052.295299042,0.41798611712394,0.121057858733758,2.07557259717201e-05,0.00901065907499855
"Cdkn1a",38236.4844236212,0.210749104331686,0.0609891507440061,2.32246429019761e-05,0.00970064303211914
"Atp2a1",12464.9445875057,0.240504868938416,0.0701662475360153,2.49105239841148e-05,0.0100895170779296
"Kif26a",24.9311056140613,1.59850477394917,0.477236021949987,2.85744011228272e-05,0.0112331013355208
"Fabp3",313.903512301509,0.417350823689155,0.12564249778119,3.20337797728451e-05,0.0121215715934397
