"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__","Group",0.996926498233881,1,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.717910113731155,-0.478124872833736
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__","Group",0.46992954803026,0.947408140089187,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.816844082654978,-0.291867368593781
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa","Group",0.0237911848920322,0.456562464703365,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.26017441860465,1.17643411031587
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__","Group",0.00814551958683988,0.456562464703365,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.30387493156518,-1.71845043153862
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__","Group",0.816044464082282,0.985235419321723,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.08456425406204,0.117115526749854
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__","Group",0.953502370898045,1,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.964,-0.0528949484321255
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__","Group",0.777409586343173,0.972401090227743,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.889736325996949,-0.168550239187121
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__","Group",0.275317778872438,0.825953336617313,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.845602294455067,-0.241948803556483
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__","Group",0.741865257662117,0.972401090227743,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.36014851485149,0.443764188197436
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__","Group",0.0874588139483026,0.712227047743479,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.58741648106904,0.666680689196806
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__","Group",0.268193109653799,0.825953336617313,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.93469514082327,0.952106251913463
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta","Group",0.496181257095122,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.44985673352436,0.535910348484658
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__","Group",0.315060674224431,0.877860830773869,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",3.63510638297872,1.86199758586427
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__","Group",0.887868073143879,0.990641952146713,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.14976958525346,0.201344772892781
