"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;__","Group",0.976346853820309,1,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.916049382716049,-0.126502721151184
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae","Group",0.571153611890669,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.83333333333333,0.874469117916141
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula","Group",0.0503058422971985,0.548791006878529,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",6.34375,2.66533591718518
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__palleronii","Group",0.835170370319198,0.985235419321723,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.657079646017699,-0.605859841614422
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__","Group",0.132556949835996,0.746838247966713,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",5.38461538461538,2.42884329880387
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__mucosae","Group",0.105134299488774,0.746838247966713,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.575057736720554,-0.798221282658644
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis","Group",0.45571002979146,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",3.74074074074074,1.90332398058833
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__","Group",0.904705873636748,0.990641952146713,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.504166666666667,-0.988027358333924
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__citroniae","Group",0.76035717889214,0.972401090227743,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.81549815498155,-0.29424648196244
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve","Group",0.7166589389891,0.972401090227743,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.923809523809524,-0.114332675478995
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum","Group",0.26427731607338,0.825953336617313,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.482758620689655,-1.05062607306997
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__colinum","Group",0.19364448857994,0.804580123312264,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.238993710691824,-2.06495544184077
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__","Group",0.729726141607677,0.972401090227743,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.63018867924528,0.705038952712907
