"fname","url"
"GSE111889_RAW.tar","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111889/suppl//GSE111889_RAW.tar"
"GSE111889_host_tx_counts.tsv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111889/suppl//GSE111889_host_tx_counts.tsv.gz"
