feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
k__Bacteria;__;__;__;__;__;__,Group,0.8049,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,3.7143,1.8931
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus,Group,0.3039,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.1929,1.1328
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;__,Group,0.0887,0.668,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.6203,-0.6891
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae,Group,0.6367,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8094,-0.3051
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__,Group,0.0713,0.6424,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,5.2731,2.3986
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula,Group,0.4804,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.3917,0.4768
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__palleronii,Group,0.4764,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2512,0.3234
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__,Group,0.0795,0.6424,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,5.0204,2.3278
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis,Group,0.7706,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.5022,0.5871
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__,Group,0.3304,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.6748,-0.5676
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__citroniae,Group,0.6596,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.3278,0.409
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve,Group,0.7806,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8262,-0.2754
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum,Group,0.8295,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9182,-0.1231
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__colinum,Group,0.4625,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.9073,0.9315
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__,Group,0.7409,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.9057,0.9303
